"MutantVarietyID","Variety Name","Local Name","Local Registration Year","Local Registration Number","Local Registration Agency","National Registration Number","National Registration Agency","Latin Name","Common Name","Country Name","Short Description","Miscellaneous","Character Improvement Details","Registration","PropagationModeType","UsageSubcategory","MutantDevelopmentType","Intellectual Property","Mutagen Treatment Type","Physical Mutagen","Chemical Mutagen","Treatment Material Type","Continent Name"
"908","IRAT 115","","1979","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 115 was officially approved in 1979. It was developed by irradiation of seeds with chronic gamma rays (250-300 Gy). Main improved attributes of mutant variety are single recessive gene mutation for short culm, different from IRAT 13, very little shattering, late maturity (130 days).","","Short culm, very little shattering, late maturity (130 days)","1979","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays - chronic","","Seed","Africa"
"909","IRAT 116","","1979","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 116 was officially approved in 1979. It was developed by irradiation of seeds with chronic gamma rays (250-300 Gy). Main improved attributes of mutant variety are reduced plant height, very little shattering, erect flag leaf.","","Reduced plant height, very little shattering and erect flag leaf","1979","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays - chronic","","Seed","Africa"
"910","IRAT 117","","1979","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 117 was officially approved in 1979. It was developed by irradiation of seeds with chronic gamma rays (250-300 Gy). Main improved attributes of mutant variety are reduced plant height, good tillering and late maturity.","","Reduced plant height, good tillering and late maturity","1979","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays - chronic","","Seed","Africa"
"479","IRAT 133","","1978","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 133 was officially approved in 1978. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are short stature, early maturity and good yield.","","Short stature, early maturity and good yield","1978","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"489","IRAT 134","","1978","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 134 was officially approved in 1978. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attribute of mutant variety is short stature.","","Short stature","1978","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"916","IRAT 136","","1978","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 136 was officially approved in 1978. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are better grain quality and high yield.","","High grain quality and high yield","1978","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"480","IRAT 144","","1978","","","","","Oryza sativa L.","Rice","Burkina Faso","The mutant variety IRAT 144 was officially approved in 1978. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are medium plant height, high yield, and early maturity (103 days) and resistance to lodging.","","Medium plant height, high yield, early maturity (103 days) and resistance to lodging","1978","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"532","IRAT 146","","1979","","","","","Oryza sativa L.","Rice","Burkina Faso","The mutant variety IRAT 146 was officially approved in 1979. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attribute of mutant variety is short stature.","","Short stature","1979","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"475","IRAT 147","","1979","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 147 was officially approved in 1979. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attribute of mutant variety are good grain shape and plant height (110cm).","","Good grain shape and plant height (110cm)","1979","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"917","IRAT 161","","1980","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 161 was officially approved in 1980. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are high yield and resistance to diseases.","","High yield and resistance to diseases","1980","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
